date;open;high;low;close;volume
1985-12-31;1412.6;1412.6;1412.6;1412.6;
1986-01-02;1417.26;1417.26;1417.26;1417.26;
1986-01-03;1424.61;1424.61;1424.61;1424.61;
1986-01-06;1430.96;1430.96;1430.96;1430.96;
1986-01-07;1421.22;1421.22;1421.22;1421.22;
1986-01-08;1408.79;1408.79;1408.79;1408.79;
1986-01-09;1389.15;1389.15;1389.15;1389.15;
1986-01-10;1395.65;1395.65;1395.65;1395.65;
1986-01-13;1397.34;1397.34;1397.34;1397.34;
1986-01-14;1380.96;1380.96;1380.96;1380.96;
1986-01-15;1384.49;1384.49;1384.49;1384.49;
1986-01-16;1391.69;1391.69;1391.69;1391.69;
1986-01-17;1395.65;1395.65;1395.65;1395.65;
1986-01-20;1391.13;1391.13;1391.13;1391.13;
1986-01-21;1379.4;1379.4;1379.4;1379.4;
1986-01-22;1385.62;1385.62;1385.62;1385.62;
1986-01-23;1380.25;1380.25;1380.25;1380.25;
1986-01-24;1389.15;1389.15;1389.15;1389.15;
1986-01-27;1400.59;1400.59;1400.59;1400.59;
1986-01-28;1420.51;1420.51;1420.51;1420.51;
1986-01-29;1425.03;1425.03;1425.03;1425.03;
1986-01-30;1437.46;1437.46;1437.46;1437.46;
1986-01-31;1449.47;1449.47;1449.47;1449.47;
1986-02-03;1444.67;1444.67;1444.67;1444.67;
1986-02-04;1444.24;1444.24;1444.24;1444.24;
1986-02-05;1448.76;1448.76;1448.76;1448.76;
1986-02-06;1454.13;1454.13;1454.13;1454.13;
1986-02-07;1464.87;1464.87;1464.87;1464.87;
1986-02-10;1480.55;1480.55;1480.55;1480.55;
1986-02-11;1483.94;1483.94;1483.94;1483.94;
1986-02-12;1494.67;1494.67;1494.67;1494.67;
1986-02-13;1503.71;1503.71;1503.71;1503.71;
1986-02-14;1506.96;1506.96;1506.96;1506.96;
1986-02-17;1505.69;1505.69;1505.69;1505.69;
1986-02-18;1517.56;1517.56;1517.56;1517.56;
1986-02-19;1524.48;1524.48;1524.48;1524.48;
1986-02-20;1527.87;1527.87;1527.87;1527.87;
1986-02-21;1539.73;1539.73;1539.73;1539.73;
1986-02-24;1563.18;1563.18;1563.18;1563.18;
1986-02-25;1568.41;1568.41;1568.41;1568.41;
1986-02-26;1568.27;1568.27;1568.27;1568.27;
1986-02-27;1576.74;1576.74;1576.74;1576.74;
1986-02-28;1575.05;1575.05;1575.05;1575.05;
1986-03-03;1573.5;1573.5;1573.5;1573.5;
1986-03-04;1575.33;1575.33;1575.33;1575.33;
1986-03-05;1588.89;1588.89;1588.89;1588.89;
1986-03-06;1592.99;1592.99;1592.99;1592.99;
1986-03-07;1594.4;1594.4;1594.4;1594.4;
1986-03-10;1606.69;1606.69;1606.69;1606.69;
1986-03-11;1629.29;1629.29;1629.29;1629.29;
1986-03-12;1631.41;1631.41;1631.41;1631.41;
1986-03-13;1658.53;1658.53;1658.53;1658.53;
1986-03-14;1668;1668;1668;1668;
1986-03-17;1677.32;1677.32;1677.32;1677.32;
1986-03-18;1675.63;1675.63;1675.63;1675.63;
1986-03-19;1701.76;1701.76;1701.76;1701.76;
1986-03-20;1714.47;1714.47;1714.47;1714.47;
1986-03-21;1718;1718;1718;1718;
1986-03-24;1705.29;1705.29;1705.29;1705.29;
1986-03-25;1678.03;1678.03;1678.03;1678.03;
1986-03-26;1689.89;1689.89;1689.89;1689.89;
1986-03-27;1695.83;1695.83;1695.83;1695.83;
1986-04-01;1715.32;1715.32;1715.32;1715.32;
1986-04-02;1730.44;1730.44;1730.44;1730.44;
1986-04-03;1750.07;1750.07;1750.07;1750.07;
1986-04-04;1759.11;1759.11;1759.11;1759.11;
1986-04-07;1739.05;1739.05;1739.05;1739.05;
1986-04-08;1737.07;1737.07;1737.07;1737.07;
1986-04-09;1729.02;1729.02;1729.02;1729.02;
1986-04-10;1735.8;1735.8;1735.8;1735.8;
1986-04-11;1741.45;1741.45;1741.45;1741.45;
1986-04-14;1747.67;1747.67;1747.67;1747.67;
1986-04-15;1725.07;1725.07;1725.07;1725.07;
1986-04-16;1727.19;1727.19;1727.19;1727.19;
1986-04-17;1741.88;1741.88;1741.88;1741.88;
1986-04-18;1744.98;1744.98;1744.98;1744.98;
1986-04-21;1748.66;1748.66;1748.66;1748.66;
1986-04-22;1749.08;1749.08;1749.08;1749.08;
1986-04-23;1735.24;1735.24;1735.24;1735.24;
1986-04-24;1713.48;1713.48;1713.48;1713.48;
1986-04-25;1711.08;1711.08;1711.08;1711.08;
1986-04-28;1722.67;1722.67;1722.67;1722.67;
1986-04-29;1746.4;1746.4;1746.4;1746.4;
1986-04-30;1755.16;1755.16;1755.16;1755.16;
1986-05-01;1740.89;1740.89;1740.89;1740.89;
1986-05-02;1749.08;1749.08;1749.08;1749.08;
1986-05-06;1748.38;1748.38;1748.38;1748.38;
1986-05-07;1748.23;1748.23;1748.23;1748.23;
1986-05-08;1704.16;1704.16;1704.16;1704.16;
1986-05-09;1693.28;1693.28;1693.28;1693.28;
1986-05-12;1690.74;1690.74;1690.74;1690.74;
1986-05-13;1703.17;1703.17;1703.17;1703.17;
1986-05-14;1694.7;1694.7;1694.7;1694.7;
1986-05-15;1688.9;1688.9;1688.9;1688.9;
1986-05-16;1668.14;1668.14;1668.14;1668.14;
1986-05-19;1669.55;1669.55;1669.55;1669.55;
1986-05-20;1673.51;1673.51;1673.51;1673.51;
1986-05-21;1680.57;1680.57;1680.57;1680.57;
1986-05-22;1685.09;1685.09;1685.09;1685.09;
1986-05-23;1693.42;1693.42;1693.42;1693.42;
1986-05-27;1693.99;1693.99;1693.99;1693.99;
1986-05-28;1707.41;1707.41;1707.41;1707.41;
1986-05-29;1702.18;1702.18;1702.18;1702.18;
1986-05-30;1696.53;1696.53;1696.53;1696.53;
1986-06-02;1696.82;1696.82;1696.82;1696.82;
1986-06-03;1705.43;1705.43;1705.43;1705.43;
1986-06-04;1705.86;1705.86;1705.86;1705.86;
1986-06-05;1713.63;1713.63;1713.63;1713.63;
1986-06-06;1713.34;1713.34;1713.34;1713.34;
1986-06-09;1721.68;1721.68;1721.68;1721.68;
1986-06-10;1712.21;1712.21;1712.21;1712.21;
1986-06-11;1695.83;1695.83;1695.83;1695.83;
1986-06-12;1701.34;1701.34;1701.34;1701.34;
1986-06-13;1703.17;1703.17;1703.17;1703.17;
1986-06-16;1712.35;1712.35;1712.35;1712.35;
1986-06-17;1717.3;1717.3;1717.3;1717.3;
1986-06-18;1730.01;1730.01;1730.01;1730.01;
1986-06-19;1730.29;1730.29;1730.29;1730.29;
1986-06-20;1746.54;1746.54;1746.54;1746.54;
1986-06-23;1745.97;1745.97;1745.97;1745.97;
1986-06-24;1741.03;1741.03;1741.03;1741.03;
1986-06-25;1750.64;1750.64;1750.64;1750.64;
1986-06-26;1760.52;1760.52;1760.52;1760.52;
1986-06-27;1761.37;1761.37;1761.37;1761.37;
1986-06-30;1770.98;1770.98;1770.98;1770.98;
1986-07-01;1788.21;1788.21;1788.21;1788.21;
1986-07-02;1792.02;1792.02;1792.02;1792.02;
1986-07-03;1788.78;1788.78;1788.78;1788.78;
1986-07-04;1785.39;1785.39;1785.39;1785.39;
1986-07-07;1780.44;1780.44;1780.44;1780.44;
1986-07-08;1756.14;1756.14;1756.14;1756.14;
